Hs-PRMT7,2000,1000,T053289-PRMT7,"p3@PRMT7"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T048426,t053289,2,007.0000,1.0,p29@IGF1R,3480,5465,,IGF1R,"insulin like growth factor 1 receptor","gene with protein product"
1093,T004955,t053289,298.0000,0.148406374502,p4@GDF10,2662,4215,,GDF10,"growth differentiation factor 10","gene with protein product"
1094,T053289,t192878,298.0000,0.148406374502,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1095,T053289,t091785,297.0000,0.14812967581,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1096,T053289,t059239,298.0000,0.148111332008,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1097,T053289,t193563,297.0000,0.148055832502,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1098,T053289,t121746,297.0000,0.14798206278,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1099,T026586,t053289,296.0000,0.147410358566,p2@HOXC13,3229,5125,P31276,HOXC13,"homeobox C13","gene with protein product"
1100,T030969,t053289,294.0000,0.146779830255,p3@ZIC2,7546,12873,O95409,ZIC2,"Zic family member 2","gene with protein product"
1101,T027030,t053289,294.0000,0.146414342629,p4@IKZF4,64375,13179,"G5E9S4,F8VW19",IKZF4,"IKAROS family zinc finger 4","gene with protein product"
1102,T053289,t177157,294.0000,0.146341463415,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1103,T013710,t053289,294.0000,0.146268656716,p3@CAPRIN1,4076,6743,,CAPRIN1,"cell cycle associated protein 1","gene with protein product"
1104,T053289,t138224,292.0000,0.145490782262,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1105,T053289,t139680,292.0000,0.145490782262,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1106,T053289,t148698,291.0000,0.14448857994,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1107,T053289,t123876,290.0000,0.144350423096,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1108,T037397,t053289,287.0000,0.142999501744,p2@RABGGTA,5875,9795,B4E069,RABGGTA,"Rab geranylgeranyltransferase alpha subunit","gene with protein product"
1109,T049649,t053289,287.0000,0.142715067131,p3@NPW,283869,30509,,NPW,"neuropeptide W","gene with protein product"
1110,T053289,t129435,287.0000,0.142644135189,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1111,T045052,t053289,285.0000,0.142002989537,p4@CCNB2,9133,1580,O95067,CCNB2,"cyclin B2","gene with protein product"
1112,T037316,t053289,284.0000,0.141434262948,p6@FITM1,161247,33714,,FITM1,"fat storage inducing transmembrane protein 1","gene with protein product"
1113,T053289,t134103,283.0000,0.140866102539,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1114,T053289,t091770,282.0000,0.140368342459,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1115,T053289,t124104,279.0000,0.139360639361,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1116,T053289,t142669,280.0000,0.138957816377,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1117,T053289,t170605,278.0000,0.138446215139,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1118,T053289,t089741,278.0000,0.13837730214,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1119,T053289,t148293,278.0000,0.138308457711,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1120,T053289,t107680,278.0000,0.13823968175,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1121,T053289,t055435,274.0000,0.136522172397,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1122,T053289,t063004,273.0000,0.135956175299,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1123,T053289,t189417,270.0000,0.134529147982,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1124,T041637,t053289,270.0000,0.134529147982,p5@FAM181A,90050,20491,"G3V3V1,Q8N9Y4",FAM181A,"family with sequence similarity 181 member A","gene with protein product"
1125,T023236,t053289,269.0000,0.134231536926,p3@RPS11P5,,36312,,RPS11P5,"ribosomal protein S11 pseudogene 5",pseudogene
1126,T053289,t100837,269.0000,0.134030891878,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1127,T053289,t066059,269.0000,0.133964143426,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1128,T053289,t129693,269.0000,0.133964143426,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1129,T053289,t092095,268.0000,0.133599202393,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1130,T033829,t053289,268.0000,0.133532635775,p8@ATP7B,540,870,,ATP7B,"ATPase copper transporting beta","gene with protein product"
1131,T053289,t109520,268.0000,0.13300248139,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1132,T053289,t189035,267.0000,0.13296812749,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1133,T039539,t053289,267.0000,0.132637853949,p8@ZBTB1,22890,20259,G3V2I8,ZBTB1,"zinc finger and BTB domain containing 1","gene with protein product"
1134,T053289,t116030,266.0000,0.132338308458,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1135,T053289,t163226,265.0000,0.131775236201,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1136,T053289,t110071,262.0000,0.130413140866,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1137,T053289,t168101,261.0000,0.130044843049,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1138,T053289,t109269,261.0000,0.129980079681,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1139,T030947,t053289,258.0000,0.128486055777,p1@ZIC5,85416,20322,,ZIC5,"Zic family member 5","gene with protein product"
1140,T031506,t053289,258.0000,0.128486055777,p6@SOX1,6656,11189,O00570,SOX1,"SRY-box 1","gene with protein product"
1141,T053289,t078836,258.0000,0.128422100548,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1142,T008484,t053289,258.0000,0.128103277061,p4@TCTN3,26123,24519,,TCTN3,"tectonic family member 3","gene with protein product"
1143,T053289,t195949,256.0000,0.12736318408,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1144,T048145,t053289,255.0000,0.127055306428,p2@RGMA,56963,30308,"F5GZU6,G3V545,Q96B86",RGMA,"repulsive guidance molecule family member a","gene with protein product"
1145,T048935,t053289,255.0000,0.126739562624,p4@UBE2I,7329,12485,,UBE2I,"ubiquitin conjugating enzyme E2 I","gene with protein product"
1146,T036525,t053289,254.0000,0.126431060229,p10@SALL2,6297,10526,F5H433,SALL2,"spalt like transcription factor 2","gene with protein product"
1147,T053289,t178951,253.0000,0.126184538653,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1148,T053289,t178824,253.0000,0.125933300149,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1149,T053289,t122227,253.0000,0.125933300149,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1150,T049278,t053289,252.0000,0.125685785536,p2@CRAMP1L,57585,14122,"Q96RY5,A7MD53,B2RNX8",CRAMP1,"cramped chromatin regulator homolog 1","gene with protein product"
1151,T053289,t123873,252.0000,0.125498007968,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1152,T045576,t053289,252.0000,0.12543554007,p9@PDCD7,10081,8767,B4E031,PDCD7,"programmed cell death 7","gene with protein product"
1153,T050748,t053289,252.0000,0.125373134328,p32@ALDOA,226,414,P04075,ALDOA,"aldolase, fructose-bisphosphate A","gene with protein product"
1154,T053289,t077961,251.0000,0.125249500998,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1155,T053289,t088469,250.0000,0.124564025909,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1156,T053289,t132744,249.0000,0.124189526185,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1157,T053289,t093990,249.0000,0.124003984064,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1158,T053289,t129137,248.0000,0.123138033764,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1159,T053289,t109633,247.0000,0.123130608175,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1160,T053289,t196987,247.0000,0.123007968127,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1161,T047493,t053289,244.0000,0.121272365805,p1@DET1,55070,25477,"Q7L5Y6,B3KNN6",DET1,"de-etiolated homolog 1 (Arabidopsis)","gene with protein product"
1162,T053289,t170311,241.0000,0.120199501247,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1163,T053289,t072924,241.0000,0.120079720977,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1164,T005814,t053289,241.0000,0.120079720977,p1@RTKN2,219790,19364,Q8IZC4,RTKN2,"rhotekin 2","gene with protein product"
1165,T053289,t099709,241.0000,0.119781312127,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1166,T053289,t163142,240.0000,0.119521912351,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1167,T053289,t060836,240.0000,0.119462419114,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1168,T053289,t176458,240.0000,0.119402985075,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1169,T053289,t190670,240.0000,0.119402985075,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1170,T053289,t162434,239.0000,0.118964659034,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1171,T053289,t090807,239.0000,0.118964659034,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1172,T019713,t053289,237.0000,0.11814556331,p1@KDM4D,55693,25498,Q6B0I6,KDM4D,"lysine demethylase 4D","gene with protein product"
1173,T051725,t053289,234.0000,0.116708229426,p3@C16orf71,146562,25081,Q8IYS4,C16orf71,"chromosome 16 open reading frame 71","gene with protein product"
1174,T053289,t175815,233.0000,0.116093672147,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1175,T053289,t161888,232.0000,0.115653040877,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1176,T053289,t156568,232.0000,0.115595416044,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1177,T053289,t128898,232.0000,0.115595416044,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1178,T053289,t068320,232.0000,0.115422885572,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1179,T053289,t071287,231.0000,0.115269461078,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1180,T053289,t157487,229.0000,0.11421446384,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1181,T053289,t083097,229.0000,0.113817097416,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1182,T053289,t084861,227.0000,0.11271102284,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1183,T053289,t163344,226.0000,0.112549800797,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1184,T053289,t090451,225.0000,0.112275449102,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1185,T053289,t138114,224.0000,0.111665004985,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1186,T052777,t053289,224.0000,0.111553784861,p4@CDH8,1006,1767,P55286,CDH8,"cadherin 8","gene with protein product"
1187,T053289,t183045,223.0000,0.110945273632,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1188,T053289,t160524,222.0000,0.11072319202,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1189,T019207,t053289,222.0000,0.110667996012,p1@CREBZF,58487,24905,"E9PIM0,Q9NS37",CREBZF,"CREB/ATF bZIP transcription factor","gene with protein product"
1190,T050610,t053289,222.0000,0.110667996012,p38@MAZ,4150,6914,P56270,MAZ,"MYC associated zinc finger protein","gene with protein product"
1191,T053289,t186862,222.0000,0.110667996012,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1192,T053289,t090248,221.0000,0.110279441118,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1193,T053289,t133463,221.0000,0.109840954274,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1194,T053289,t126454,220.0000,0.109725685786,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1195,T053289,t137040,219.0000,0.109226932668,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1196,T053289,t152914,218.0000,0.108457711443,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1197,T053289,t201664,217.0000,0.108013937282,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1198,T053289,t070848,216.0000,0.107784431138,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1199,T021126,t053289,215.0000,0.106965174129,p1@TMEM116,89894,25084,"Q8NCL8,Q9BWF8",TMEM116,"transmembrane protein 116","gene with protein product"
1200,T018591,t053289,214.0000,0.106786427146,p4@PRKRIR,5612,9440,E9PSI2,THAP12,"THAP domain containing 12","gene with protein product"
1201,T025861,t053289,214.0000,0.10667996012,p1@CCDC77,84318,28203,B4DDE8,CCDC77,"coiled-coil domain containing 77","gene with protein product"
1202,T053289,t178462,213.0000,0.106234413965,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1203,T016296,t053289,213.0000,0.105812220566,p3@DRD4,1815,3025,"P21917,Q16303",DRD4,"dopamine receptor D4","gene with protein product"
1204,T053289,t157550,212.0000,0.105735660848,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1205,T025428,t053289,209.0000,0.104031856645,p2@COL2A1,1280,2200,P02458,COL2A1,"collagen type II alpha 1 chain","gene with protein product"
1206,T053289,t078306,208.0000,0.103482587065,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1207,T053289,t130770,208.0000,0.103482587065,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1208,T053289,t093033,208.0000,0.10337972167,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1209,T053289,t139683,207.0000,0.103139013453,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1210,T053289,t162941,206.0000,0.102691924227,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1211,T053289,t167088,205.0000,0.102193419741,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1212,T053289,t153906,203.0000,0.101246882793,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1213,T053289,t063620,203.0000,0.101196410768,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1214,T053289,t187741,202.0000,0.100497512438,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1215,T001195,t053289,202.0000,0.100447538538,p8@TCF7L2,6934,11641,"F8W7T5,E2GH25,Q9NQB0,C6ZRK5,B4DRJ8,C6ZRJ7,C6ZRK1,C6ZRJ8,C6ZRJ9,C6ZRK0,F8W742,C6ZRK2,B9X074,Q6FHW4",TCF7L2,"transcription factor 7 like 2","gene with protein product"
1216,T053289,t173909,202.0000,0.100347739692,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1217,T053289,t072133,202.0000,0.100248138958,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1218,T053289,t172928,201.0000,0.100199401795,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1219,T053289,t062023,200.0000,0.0996015936255,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1220,T053289,t129138,200.0000,0.0995520159283,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1221,T053289,t153219,200.0000,0.0995024875622,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1222,T053289,t198574,199.0000,0.0992023928215,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1223,T053289,t103836,199.0000,0.0990542558487,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1224,T006145,t053289,199.0000,0.0990049751244,p1@DNA2,1763,2939,"F8VPM6,F8VR31,P51530",DNA2,"DNA replication helicase/nuclease 2","gene with protein product"
1225,T053289,t134500,199.0000,0.0989557434112,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1226,T053289,t067445,199.0000,0.0989557434112,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1227,T053289,t104503,199.0000,0.0988574267263,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1228,T053289,t076780,198.0000,0.0988023952096,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1229,T053289,t136661,198.0000,0.0986055776892,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1230,T013488,t053289,198.0000,0.098556495769,p33@PAX6,5080,8620,,PAX6,"paired box 6","gene with protein product"
1231,T004225,t053289,197.0000,0.0982543640898,p1@PITRM1,10531,17663,E7ES23,PITRM1,"pitrilysin metallopeptidase 1","gene with protein product"
1232,T053289,t101571,196.0000,0.0977068793619,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1233,T053289,t119960,196.0000,0.0974155069583,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1234,T028379,t053289,195.0000,0.0972568578554,p12@PTMS,5763,9629,,PTMS,parathymosin,"gene with protein product"
1235,T053289,t069141,195.0000,0.0971115537849,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1236,T052694,t053289,195.0000,0.0970149253731,p1@SETD6,79918,26116,"C9JCR1,E7ENV8",SETD6,"SET domain containing 6","gene with protein product"
1237,T053289,t178983,192.0000,0.0958083832335,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1238,T053289,t104477,192.0000,0.0955699352912,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1239,T053289,t062078,191.0000,0.0952618453865,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1240,T053289,t152597,191.0000,0.0951669157947,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1241,T053289,t062606,190.0000,0.0947630922693,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1242,T020790,t053289,190.0000,0.0945744151319,p8@UNG,7374,12572,,UNG,"uracil DNA glycosylase","gene with protein product"
1243,T053289,t116163,189.0000,0.0941235059761,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1244,T053289,t138243,188.0000,0.093625498008,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1245,T016092,t053289,188.0000,0.0935323383085,p9@SLC3A2,6520,11026,P08195,SLC3A2,"solute carrier family 3 member 2","gene with protein product"
1246,T053289,t116171,188.0000,0.0934393638171,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1247,T053289,t136814,187.0000,0.0931738913802,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1248,T053289,t123519,187.0000,0.0931738913802,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1249,T053289,t136850,187.0000,0.0930348258706,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1250,T053289,t138704,187.0000,0.092988562904,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1251,T053289,t113702,186.0000,0.0927218344965,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1252,T053289,t180397,186.0000,0.0926756352765,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1253,T053289,t121632,186.0000,0.0926294820717,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1254,T053289,t103831,186.0000,0.0924453280318,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1255,T053289,t092752,185.0000,0.092039800995,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1256,T053289,t118968,185.0000,0.0919940328195,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1257,T053289,t069923,183.0000,0.0911808669656,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1258,T053289,t182678,181.0000,0.09036445332,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1259,T053289,t104202,181.0000,0.0902743142145,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1260,T053289,t196198,181.0000,0.0902743142145,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1261,T030972,t053289,181.0000,0.0900049726504,p11@ZIC2,7546,12873,O95409,ZIC2,"Zic family member 2","gene with protein product"
1262,T053289,t136269,181.0000,0.0898709036743,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1263,T053289,t132741,180.0000,0.0896860986547,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1264,T033686,t053289,180.0000,0.0895968143355,p1@TRIM13,10206,9976,O60858,TRIM13,"tripartite motif containing 13","gene with protein product"
1265,T053289,t187235,180.0000,0.089552238806,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1266,T053289,t088218,178.0000,0.0886895864474,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1267,T053289,t134506,178.0000,0.0886454183267,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1268,T053289,t123883,178.0000,0.0886012941762,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1269,T053289,t102312,175.0000,0.0872382851446,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1270,T045942,t053289,174.0000,0.0866533864542,p2@LINC00277,283673,26596,,EWSAT1,"Ewing sarcoma associated transcript 1","RNA, long non-coding"
1271,T053289,t066931,173.0000,0.0861553784861,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1272,T053289,t104483,173.0000,0.0860268523123,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1273,T053289,t068450,172.0000,0.0856147336984,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1274,T053289,t123881,172.0000,0.0855721393035,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1275,T053289,t092100,172.0000,0.08552958727,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
1276,T053289,t074884,171.0000,0.0852867830424,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
