T000001	chr10:100027943..100027958,-	LOXL4
T124123	chr2:62115706..62115720,-	CCT4
T124124	chr2:62115725..62115799,-	CCT4
T124125	chr2:62132781..62132793,+	COMMD1
T124126	chr2:62132800..62132816,+	COMMD1
T124133	chr2:62423214..62423235,+	B3GNT2
T124134	chr2:62423242..62423288,+	B3GNT2
T124147	chr2:62733272..62733364,-	TMEM17
T124157	chr2:62932779..62932882,+	EHBP1
T124158	chr2:62932901..62932935,+	EHBP1
T124159	chr2:62933018..62933030,+	EHBP1
T124171	chr2:63272179..63272222,+	EHBP1
T124182	chr2:63277927..63277938,+	OTX1
T124183	chr2:63277948..63277974,+	OTX1
T124196	chr2:63815351..63815403,-	WDPCP
T124197	chr2:63815525..63815564,-	WDPCP
T124198	chr2:63815567..63815594,-	WDPCP
T124199	chr2:63815597..63815625,-	WDPCP
T124200	chr2:63815628..63815657,-	WDPCP
T124201	chr2:63815724..63815744,-	WDPCP
T124202	chr2:63815860..63815874,-	WDPCP
T124203	chr2:63816087..63816124,+	MDH1
T124205	chr2:63816269..63816288,+	MDH1
T124206	chr2:63816295..63816356,+	MDH1
T124212	chr2:64054949..64054963,-	WDPCP
T124215	chr2:64068078..64068114,+	UGP2
T124216	chr2:64068116..64068185,+	UGP2
T124217	chr2:64068198..64068302,+	UGP2
T124218	chr2:64068303..64068314,+	UGP2
T124221	chr2:64069016..64069039,+	UGP2
T124223	chr2:64069146..64069160,+	UGP2
T124225	chr2:64069293..64069332,+	UGP2
T124228	chr2:64069569..64069579,+	UGP2
T124239	chr2:64246489..64246579,-	VPS54
T124240	chr2:64246638..64246688,-	VPS54
T124241	chr2:64246692..64246701,-	VPS54
T124246	chr2:64327625..64327636,-	PELI1
T124257	chr2:64371546..64371560,-	PELI1
T124293	chr2:64680611..64680624,+	LGALSL
T124294	chr2:64681142..64681165,+	LGALSL
T124295	chr2:64681219..64681231,+	LGALSL
T124296	chr2:64681279..64681316,+	LGALSL
T124297	chr2:64681324..64681338,+	LGALSL
T124298	chr2:64681348..64681364,+	LGALSL
T124299	chr2:64681553..64681567,+	LGALSL
T124300	chr2:64681575..64681630,+	LGALSL
T124301	chr2:64681641..64681683,+	LGALSL
T124306	chr2:64751433..64751472,+	AFTPH
T124307	chr2:64751475..64751556,+	AFTPH
T124308	chr2:64751574..64751609,+	AFTPH
T124310	chr2:64751685..64751698,+	AFTPH
T124316	chr2:64880894..64880977,-	SERTAD2
T124317	chr2:64881018..64881064,-	SERTAD2
T124319	chr2:64881404..64881420,-	SERTAD2
T124323	chr2:64977435..64977475,-	SERTAD2
T124324	chr2:64977835..64977861,-	SERTAD2
T124351	chr2:65215604..65215625,+	SLC1A4
T124352	chr2:65216084..65216102,+	SLC1A4
T124353	chr2:65216118..65216131,+	SLC1A4
T124354	chr2:65216141..65216162,+	SLC1A4
T124355	chr2:65216462..65216567,+	SLC1A4
T124356	chr2:65216573..65216580,+	SLC1A4
T124357	chr2:65249562..65249601,+	SLC1A4
T124364	chr2:65283517..65283527,+	CEP68
T124365	chr2:65283529..65283591,+	CEP68
T124375	chr2:65357225..65357267,-	RAB1A
T124379	chr2:65454863..65454889,+	ACTR2
T124380	chr2:65454896..65454917,+	ACTR2
T124381	chr2:65454926..65454991,+	ACTR2
T124392	chr2:65593835..65593877,-	SPRED2
T124395	chr2:65659469..65659483,-	SPRED2
T124396	chr2:65659521..65659528,-	SPRED2
T124397	chr2:65659637..65659690,-	SPRED2
T124398	chr2:65659725..65659739,-	SPRED2
T124399	chr2:65659762..65659774,-	SPRED2
T124400	chr2:65659885..65659916,-	SPRED2
T124417	chr2:66662232..66662243,+	MEIS1
T124419	chr2:66662281..66662308,+	MEIS1
T124420	chr2:66662396..66662407,+	MEIS1
T124421	chr2:66662510..66662521,+	MEIS1
T124423	chr2:66662797..66662818,+	MEIS1
T124424	chr2:66662895..66662907,+	MEIS1
T124427	chr2:66666432..66666462,+	MEIS1
T124453	chr2:67624430..67624479,+	ETAA1
T124459	chr2:677369..677443,-	TMEM18
T124460	chr2:677447..677458,-	TMEM18
T124472	chr2:68290106..68290146,-	C1D
T124473	chr2:68384603..68384693,-	WDR92
T124475	chr2:68385009..68385068,+	PNO1
T124495	chr2:68479554..68479559,-	PPP3R1
T124496	chr2:68479614..68479685,-	PPP3R1
T124499	chr2:68479735..68479738,-	PPP3R1
T124505	chr2:68546530..68546631,-	CNRIP1
T124506	chr2:68546640..68546647,-	CNRIP1
T124507	chr2:68546668..68546684,-	CNRIP1
T124508	chr2:68546688..68546695,-	CNRIP1
T124509	chr2:68546710..68546723,-	CNRIP1
T124510	chr2:68546759..68546770,-	CNRIP1
T124511	chr2:68546828..68546891,-	CNRIP1
T124512	chr2:68546894..68546903,-	CNRIP1
T124513	chr2:68547039..68547050,-	CNRIP1
T124518	chr2:68592406..68592424,+	PLEK
T124534	chr2:68615063..68615089,+	PLEK
T124555	chr2:68694341..68694353,-	FBXO48
T124556	chr2:68694401..68694434,-	FBXO48
T124557	chr2:68694581..68694592,-	FBXO48
T124558	chr2:68694678..68694734,+	APLF
T124559	chr2:68694742..68694817,+	APLF
T124562	chr2:68961934..68961975,+	ARHGAP25
T124563	chr2:68962023..68962095,+	ARHGAP25
T124564	chr2:68962102..68962118,+	ARHGAP25
T124566	chr2:68962229..68962279,+	ARHGAP25
T124570	chr2:69001913..69001926,+	ARHGAP25
T124571	chr2:69001969..69001981,+	ARHGAP25
T124573	chr2:69002052..69002083,+	ARHGAP25
T124575	chr2:69002322..69002352,+	ARHGAP25
T124612	chr2:69240302..69240332,+	ANTXR1
T124614	chr2:69240469..69240508,+	ANTXR1
T124635	chr2:69614280..69614291,-	GFPT1
T124636	chr2:69614328..69614368,-	GFPT1
T124637	chr2:69614373..69614397,-	GFPT1
T124638	chr2:69614434..69614445,-	GFPT1
T124640	chr2:69664558..69664584,-	NFU1
T124642	chr2:69664721..69664723,-	NFU1
T124643	chr2:69664762..69664765,-	NFU1
T124660	chr2:69870164..69870173,-	AAK1
T124661	chr2:69870179..69870206,-	AAK1
T124665	chr2:69870747..69870812,-	AAK1
T124666	chr2:69870813..69870827,-	AAK1
T124671	chr2:69871059..69871070,-	AAK1
T124672	chr2:69871079..69871100,-	AAK1
T124678	chr2:69969040..69969089,+	ANXA4
T124679	chr2:69969103..69969111,+	ANXA4
T124680	chr2:69969189..69969200,+	ANXA4
T124682	chr2:69969257..69969273,+	ANXA4
T124696	chr2:70056762..70056847,+	GMCL1
T124697	chr2:70056856..70056866,+	GMCL1
T124698	chr2:70056906..70056953,+	GMCL1
T124699	chr2:7005785..7005864,-	CMPK2
T124700	chr2:7005930..7005973,-	CMPK2
T124701	chr2:7005997..7006051,+	RSAD2
T124702	chr2:7006016..7006066,-	CMPK2
T124703	chr2:7006187..7006202,-	CMPK2
T124705	chr2:7006759..7006778,-	CMPK2
T124707	chr2:70121075..70121102,+	SNRNP27
T124708	chr2:70121105..70121120,+	SNRNP27
T124716	chr2:70142232..70142251,+	MXD1
T124750	chr2:7017899..7017914,+	RSAD2
T124796	chr2:70312872..70312889,-	PCBP1-AS1
T124798	chr2:70313393..70313424,-	PCBP1-AS1
T124800	chr2:70313509..70313530,-	PCBP1-AS1
T124802	chr2:70313603..70313635,-	PCBP1-AS1
T124803	chr2:70313762..70313774,-	PCBP1-AS1
T124804	chr2:70313796..70313812,-	PCBP1-AS1
T124805	chr2:70313825..70313855,-	PCBP1-AS1
T124807	chr2:70314059..70314098,-	PCBP1-AS1
T124808	chr2:70314112..70314146,-	PCBP1-AS1
T124809	chr2:70314240..70314256,+	PCBP1
T124811	chr2:70314601..70314622,+	PCBP1
T124812	chr2:70314849..70314860,+	PCBP1
T124813	chr2:70315315..70315369,-	PCBP1-AS1
T124814	chr2:70315493..70315536,-	PCBP1-AS1
T124846	chr2:70417827..70417854,-	C2orf42
T124847	chr2:70417855..70417867,-	C2orf42
T124848	chr2:70418118..70418177,-	C2orf42
T124851	chr2:70475639..70475646,-	TIA1
T124852	chr2:70475661..70475664,-	TIA1
T124853	chr2:70475682..70475683,-	TIA1
T124854	chr2:70475701..70475717,-	TIA1
T124855	chr2:70475730..70475798,-	TIA1
T124856	chr2:70475810..70475835,-	TIA1
T124857	chr2:70475872..70475885,-	TIA1
T124858	chr2:70485220..70485293,+	PCYOX1
T124861	chr2:70520539..70520585,-	SNRPG
T124863	chr2:70520832..70520881,-	SNRPG
T124866	chr2:70529150..70529179,-	FAM136A
T124867	chr2:70529180..70529217,-	FAM136A
T124870	chr2:7057536..7057613,+	RNF144A
T124871	chr2:7057615..7057634,+	RNF144A
T124872	chr2:7057698..7057710,+	RNF144A
T124880	chr2:70780951..70780966,-	TGFA
T124882	chr2:70781308..70781337,-	TGFA
T124891	chr2:70995216..70995227,-	ADD2
T124892	chr2:70995307..70995339,-	ADD2
T124905	chr2:71127699..71127744,+	VAX2
T124908	chr2:71162995..71163037,+	ATP6V1B1
T124914	chr2:71205754..71205772,+	ANKRD53
T124918	chr2:71218996..71219012,-	TEX261
T124921	chr2:71221923..71221936,-	TEX261
T124922	chr2:71221942..71222019,-	TEX261
T124927	chr2:71295416..71295450,+	NAGK
T124929	chr2:71295717..71295732,+	NAGK
T124930	chr2:71295733..71295748,+	NAGK
T124931	chr2:71295766..71295788,+	NAGK
T124932	chr2:71299403..71299421,+	NAGK
T124935	chr2:71357351..71357396,-	MCEE
T124936	chr2:71357434..71357488,+	MPHOSPH10
T124937	chr2:71357490..71357507,+	MPHOSPH10
T124941	chr2:71357689..71357700,+	MPHOSPH10
T124942	chr2:71357716..71357727,+	MPHOSPH10
T124943	chr2:71357734..71357739,+	MPHOSPH10
T124944	chr2:71357744..71357791,+	MPHOSPH10
T124946	chr2:71360337..71360352,+	MPHOSPH10
T124953	chr2:71454167..71454178,-	PAIP2B
T124954	chr2:71454185..71454242,-	PAIP2B
T124955	chr2:71503683..71503748,+	ZNF638
T124957	chr2:71558882..71558936,+	ZNF638
T124959	chr2:71576703..71576714,+	ZNF638
T124960	chr2:71606932..71606935,+	ZNF638
T124964	chr2:71680668..71680759,+	DYSF
T124965	chr2:71680760..71680764,+	DYSF
T124968	chr2:71680861..71680880,+	DYSF
T124969	chr2:71680983..71681007,+	DYSF
T124973	chr2:71693812..71693838,+	DYSF
T125004	chr2:72371182..72371254,-	CYP26B1
T125009	chr2:72374878..72374942,-	CYP26B1
T125012	chr2:72375269..72375282,-	CYP26B1
T125013	chr2:72375473..72375477,-	CYP26B1
T125035	chr2:73053034..73053049,-	EXOC6B
T125036	chr2:73053059..73053068,-	EXOC6B
T125037	chr2:73053097..73053106,-	EXOC6B
T125038	chr2:73053111..73053125,-	EXOC6B
T125039	chr2:73053126..73053184,-	EXOC6B
T125041	chr2:73114502..73114561,+	SPR
T125043	chr2:73144617..73144654,+	EMX1
T125054	chr2:73298382..73298445,-	SFXN5
T125055	chr2:73298446..73298468,-	SFXN5
T125056	chr2:73298831..73298870,-	SFXN5
T125057	chr2:73299315..73299328,-	SFXN5
T125058	chr2:73299332..73299368,-	SFXN5
T125059	chr2:73302288..73302299,-	RAB11FIP5
T125060	chr2:73306856..73306868,-	RAB11FIP5
T125065	chr2:73316776..73316815,-	RAB11FIP5
T125067	chr2:73339985..73340009,-	RAB11FIP5
T125068	chr2:73340013..73340113,-	RAB11FIP5
T125070	chr2:73340160..73340185,-	RAB11FIP5
T125071	chr2:73340190..73340229,-	RAB11FIP5
T125075	chr2:73441362..73441399,+	SMYD5
T125076	chr2:73460334..73460405,-	PRADC1
T125079	chr2:73460574..73460592,+	CCT7
T125080	chr2:73461388..73461399,+	CCT7
T125081	chr2:73461410..73461463,+	CCT7
T125082	chr2:73466862..73466877,+	CCT7
T125088	chr2:73496614..73496675,-	FBXO41
T125092	chr2:73511460..73511470,-	FBXO41
T125094	chr2:73511560..73511628,-	FBXO41
T125097	chr2:73520667..73520683,-	EGR4
T125101	chr2:73612858..73612905,+	ALMS1
T125102	chr2:73612911..73612930,+	ALMS1
T125103	chr2:73612938..73612993,+	ALMS1
T125104	chr2:73613142..73613180,+	ALMS1
T125105	chr2:73613181..73613203,+	ALMS1
T125112	chr2:73964420..73964431,-	TPRKB
T125113	chr2:73964447..73964495,-	TPRKB
T125115	chr2:74007169..74007187,-	DUSP11
T125116	chr2:74007193..74007246,-	DUSP11
T125117	chr2:74056066..74056135,+	STAMBP
T125118	chr2:74056150..74056159,+	STAMBP
T125123	chr2:74120126..74120142,+	ACTG2
T125151	chr2:74153986..74154029,+	DGUOK
T125152	chr2:74154032..74154067,+	DGUOK
T125153	chr2:74154077..74154088,+	DGUOK
T125169	chr2:74229812..74229867,+	TET3
T125177	chr2:74374995..74375055,-	BOLA3
T125178	chr2:74375058..74375069,-	BOLA3
T125179	chr2:74375081..74375092,-	BOLA3
T125180	chr2:74375100..74375124,+	BOLA3-AS1
T125181	chr2:74375129..74375194,+	BOLA3-AS1
T125185	chr2:74405929..74406028,-	MOB1A
T125187	chr2:74425732..74425749,+	MTHFD2
T125189	chr2:74433515..74433538,+	MTHFD2
T125208	chr2:74601758..74601831,-	DCTN1
T125209	chr2:74607390..74607469,-	DCTN1
T125213	chr2:74618942..74618956,-	DCTN1
T125214	chr2:74618964..74619002,-	DCTN1
T125215	chr2:74619122..74619134,-	DCTN1
T125216	chr2:74619152..74619219,-	DCTN1
T125220	chr2:74645745..74645765,-	C2orf81
T125221	chr2:74645780..74645793,-	C2orf81
T125223	chr2:74648702..74648782,-	C2orf81
T125224	chr2:74648832..74648841,+	WDR54
T125225	chr2:74648848..74648894,+	WDR54
T125226	chr2:74649337..74649349,+	WDR54
T125230	chr2:74667061..74667078,-	RTKN
T125232	chr2:74667551..74667565,-	RTKN
T125233	chr2:74667574..74667594,-	RTKN
T125234	chr2:74667612..74667715,-	RTKN
T125236	chr2:74669009..74669077,-	RTKN
T125237	chr2:74669383..74669398,-	RTKN
T125239	chr2:74669504..74669520,-	RTKN
T125240	chr2:74669530..74669557,-	RTKN
T125241	chr2:74682204..74682252,+	INO80B
T125245	chr2:74685413..74685454,+	WBP1
T125246	chr2:74685556..74685585,+	WBP1
T125247	chr2:74692333..74692347,-	MOGS
T125248	chr2:74692464..74692465,-	MOGS
T125249	chr2:74692473..74692542,-	MOGS
T125251	chr2:74699770..74699819,-	MRPL53
T125253	chr2:74709828..74709841,-	CCDC142
T125254	chr2:74710042..74710076,-	CCDC142
T125255	chr2:74710078..74710142,-	CCDC142
T125256	chr2:74710194..74710217,+	TTC31
T125260	chr2:74726710..74726736,-	LBX2
T125265	chr2:74730087..74730102,-	LBX2
T125268	chr2:74730430..74730451,-	LBX2
T125273	chr2:74734401..74734423,-	PCGF1
T125274	chr2:74734473..74734498,-	PCGF1
T125275	chr2:74734505..74734571,-	PCGF1
T125276	chr2:74734791..74734840,-	PCGF1
T125279	chr2:74735317..74735338,-	PCGF1
T125282	chr2:74741569..74741620,+	TLX2
T125287	chr2:74753332..74753373,-	DQX1
T125288	chr2:74754698..74754716,-	AUP1
T125289	chr2:74754815..74754818,-	AUP1
T125290	chr2:74754891..74754899,-	AUP1
T125291	chr2:74754928..74754942,-	AUP1
T125292	chr2:74756293..74756310,+	HTRA2
T125293	chr2:74756560..74756585,-	AUP1
T125294	chr2:74756798..74756847,-	AUP1
T125295	chr2:74756834..74756844,+	HTRA2
T125296	chr2:74756865..74756874,+	HTRA2
T125297	chr2:74756871..74756882,-	AUP1
T125298	chr2:74756890..74756901,-	AUP1
T125299	chr2:74756894..74756899,+	HTRA2
T125300	chr2:74756901..74756910,+	HTRA2
T125301	chr2:74756928..74756933,+	HTRA2
T125302	chr2:74757050..74757143,+	HTRA2
T125303	chr2:74757146..74757175,+	HTRA2
T125304	chr2:74757271..74757307,+	HTRA2
T125305	chr2:74757308..74757330,+	HTRA2
T125308	chr2:74757700..74757770,+	HTRA2
T125311	chr2:74757842..74757874,+	HTRA2
T125314	chr2:74776225..74776256,+	DOK1
T125315	chr2:74776606..74776631,-	LOXL3
T125316	chr2:74776647..74776658,-	LOXL3
T125323	chr2:74781061..74781076,-	LOXL3
T125324	chr2:74781506..74781519,+	DOK1
T125325	chr2:74781828..74781898,+	DOK1
T125326	chr2:74781921..74781933,+	DOK1
T125327	chr2:74782818..74782845,-	LOXL3
T125329	chr2:74804044..74804088,-	C2orf65
T125330	chr2:74804191..74804203,-	C2orf65
T125331	chr2:74875432..74875466,-	C2orf65
T125332	chr2:74881366..74881397,+	SEMA4F
T125333	chr2:74881398..74881417,+	SEMA4F
T125334	chr2:74881432..74881445,+	SEMA4F
T125335	chr2:74881474..74881485,+	SEMA4F
T125343	chr2:75061240..75061265,+	HK2
T125345	chr2:75061534..75061553,+	HK2
T125360	chr2:75185762..75185803,+	POLE4
T125366	chr2:75426637..75426652,-	TACR1
T125381	chr2:75788020..75788029,-	FAM176A
T125382	chr2:75788038..75788089,-	FAM176A
T125383	chr2:75788424..75788427,-	FAM176A
T125384	chr2:75788428..75788476,-	FAM176A
T125391	chr2:75873902..75873932,+	MRPL19
T125392	chr2:75874183..75874244,+	MRPL19
T125393	chr2:75937794..75937867,-	GCFC2
T125396	chr2:75937994..75938054,-	GCFC2
T125397	chr2:75938128..75938135,-	GCFC2
T125428	chr2:77749474..77749518,-	LRRTM4
T125495	chr2:79740118..79740210,+	CTNNA2
T125508	chr2:80531824..80531882,-	LRRTM1
T125594	chr2:84686356..84686417,-	SUCLG1
T125595	chr2:84686552..84686624,-	SUCLG1
T125597	chr2:84743562..84743651,+	DNAH6
T125598	chr2:84743654..84743668,+	DNAH6
T125601	chr2:85108164..85108218,-	C2orf89
T125602	chr2:85108240..85108263,-	C2orf89
T125604	chr2:85108416..85108456,-	C2orf89
T125607	chr2:85132768..85132788,+	TMSB10
T125608	chr2:85133146..85133181,+	TMSB10
T125615	chr2:85133792..85133798,-	C2orf89
T125616	chr2:85134117..85134150,-	C2orf89
T125626	chr2:85197924..85197955,+	KCMF1
T125629	chr2:85198231..85198305,+	KCMF1
T125631	chr2:85198369..85198483,+	KCMF1
T125638	chr2:85360499..85360598,+	TCF7L1
T125641	chr2:85546361..85546379,-	TGOLN2
T125648	chr2:85555061..85555081,-	TGOLN2
T125649	chr2:85555086..85555119,-	TGOLN2
T125651	chr2:85555355..85555383,-	TGOLN2
T125652	chr2:85555385..85555424,-	TGOLN2
T125655	chr2:85581643..85581663,-	RETSAT
T125657	chr2:85581701..85581710,-	RETSAT
T125659	chr2:85581864..85581907,+	ELMOD3
T125664	chr2:85625867..85625880,-	CAPG
T125665	chr2:85625889..85625900,-	CAPG
T125667	chr2:85628691..85628713,-	CAPG
T125668	chr2:85628754..85628782,-	CAPG
T125669	chr2:85628961..85628975,-	CAPG
T125670	chr2:85629243..85629246,-	CAPG
T125673	chr2:85637459..85637495,-	CAPG
T125677	chr2:85641172..85641183,-	CAPG
T125678	chr2:85645545..85645560,-	CAPG
T125680	chr2:85661028..85661039,+	SH2D6
T125688	chr2:85766280..85766299,+	MAT2A
T125690	chr2:85788551..85788601,-	GGCX
T125691	chr2:85788605..85788629,-	GGCX
T125692	chr2:85788637..85788649,-	GGCX
T125693	chr2:85788652..85788661,-	GGCX
T125694	chr2:85788941..85788961,-	GGCX
T125695	chr2:85804663..85804748,+	VAMP8
T125696	chr2:85806236..85806245,+	VAMP8
T125698	chr2:85811525..85811583,+	VAMP5
T125702	chr2:85822839..85822853,+	RNF181
T125703	chr2:85822859..85822884,+	RNF181
T125706	chr2:85829422..85829431,-	TMEM150A
T125707	chr2:85829444..85829455,-	TMEM150A
T125708	chr2:85829477..85829493,-	TMEM150A
T125709	chr2:85829496..85829544,-	TMEM150A
T125710	chr2:85829780..85829800,-	TMEM150A
T125711	chr2:85829811..85829828,-	TMEM150A
T125712	chr2:85829972..85830028,+	USP39
T125714	chr2:85835821..85835825,-	C2orf68
T125715	chr2:85839146..85839198,-	C2orf68
T125716	chr2:85839218..85839255,+	USP39
T125717	chr2:85839258..85839277,+	USP39
T125718	chr2:85839349..85839363,+	USP39
T125719	chr2:85843252..85843321,+	USP39
T125720	chr2:85848608..85848658,+	USP39
T125721	chr2:85850770..85850785,+	USP39
T125722	chr2:85866404..85866431,+	USP39
T125723	chr2:85867915..85867919,+	USP39
T125802	chr2:85921495..85921521,+	GNLY
T125827	chr2:85980768..85980783,+	ATOH8
T125828	chr2:85980868..85980880,+	ATOH8
T125829	chr2:85980903..85980914,+	ATOH8
T125830	chr2:85980919..85980942,+	ATOH8
T125831	chr2:85980951..85981004,+	ATOH8
T125832	chr2:85981008..85981025,+	ATOH8
T125833	chr2:85981027..85981047,+	ATOH8
T125834	chr2:85981073..85981091,+	ATOH8
T125835	chr2:85981107..85981120,+	ATOH8
T125836	chr2:85981222..85981259,+	ATOH8
T125837	chr2:85981271..85981289,+	ATOH8
T125838	chr2:85981969..85982019,+	ATOH8
T125851	chr2:86115979..86116012,-	ST3GAL5
T125852	chr2:86116020..86116039,-	ST3GAL5
T125853	chr2:86116093..86116172,-	ST3GAL5
T125869	chr2:86332951..86333020,-	POLR1A
T125870	chr2:86333244..86333265,-	POLR1A
T125871	chr2:86333301..86333311,+	PTCD3
T125872	chr2:86333340..86333372,+	PTCD3
T125874	chr2:86359764..86359766,+	PTCD3
T125875	chr2:86362992..86362997,+	SNORD94
T125881	chr2:86422095..86422126,-	IMMT
T125883	chr2:86422523..86422594,-	IMMT
T125884	chr2:86422618..86422629,-	IMMT
T125885	chr2:86426572..86426614,+	MRPL35
T125899	chr2:86564776..86564813,-	REEP1
T125901	chr2:86668464..86668529,+	KDM3A
T125902	chr2:86669209..86669241,+	KDM3A
T125917	chr2:86790420..86790427,-	RNF103-CHMP3
T125918	chr2:86790472..86790504,-	RNF103-CHMP3
T125919	chr2:86790505..86790579,-	RNF103-CHMP3
T125920	chr2:86790580..86790591,-	RNF103-CHMP3
T125921	chr2:86790593..86790614,-	RNF103-CHMP3
T125928	chr2:86850331..86850360,-	RNF103
T125929	chr2:86850645..86850721,-	RNF103
T125930	chr2:86850949..86851023,-	RNF103
T125936	chr2:86947406..86947434,+	RMND5A
T125955	chr2:87017985..87018050,-	CD8A
T125995	chr2:87754941..87754956,+	LINC00152
T125996	chr2:87754989..87755007,+	LINC00152
T126001	chr2:87769459..87769476,+	LINC00152
T126009	chr2:88124475..88124516,+	MT-ATP8
T126010	chr2:88124544..88124572,+	MT-ATP8
T126011	chr2:88124655..88124672,+	MT-ATP8
T126013	chr2:8819174..8819185,+	ID2
T126014	chr2:8819364..8819390,+	ID2
T126018	chr2:8822176..8822196,+	ID2
T126021	chr2:88355241..88355268,-	KRCC1
T126022	chr2:88355276..88355309,-	KRCC1
T126023	chr2:88355313..88355325,-	KRCC1
T126024	chr2:88355379..88355395,-	KRCC1
T126025	chr2:88367337..88367351,+	SMYD1
T126032	chr2:88427571..88427590,-	FABP1
T126034	chr2:88469849..88469906,+	THNSL2
T126039	chr2:88752207..88752218,-	FOXI3
T126047	chr2:8890438..8890476,-	KIDINS220
T126054	chr2:88926889..88926902,-	EIF2AK3
T126055	chr2:88926912..88926919,-	EIF2AK3
T126056	chr2:88926924..88927010,-	EIF2AK3
T126057	chr2:88927070..88927078,-	EIF2AK3
T126058	chr2:88927092..88927099,-	EIF2AK3
T126065	chr2:88991165..88991216,+	RPIA
T126067	chr2:88991299..88991318,+	RPIA
T126068	chr2:88991321..88991342,+	RPIA
T126069	chr2:88991347..88991367,+	RPIA
T126070	chr2:88991383..88991387,+	RPIA
T126074	chr2:89065379..89065402,+	ANKRD36BP2
T126146	chr2:89442621..89442635,-	IGKV3-20
T126154	chr2:8977694..8977703,-	KIDINS220
T126155	chr2:8977714..8977765,-	KIDINS220
T126167	chr2:9143786..9143886,-	MBOAT2
T126188	chr2:9346730..9346743,+	ASAP2
T126189	chr2:9346773..9346792,+	ASAP2
T126190	chr2:9346878..9346889,+	ASAP2
T126191	chr2:9346892..9346948,+	ASAP2
T126194	chr2:9347003..9347010,+	ASAP2
T126208	chr2:946543..946579,+	SNTG2
T126227	chr2:9562702..9562734,-	ITGB1BP1
T126228	chr2:9563272..9563314,-	ITGB1BP1
T126229	chr2:9563319..9563355,-	ITGB1BP1
T126230	chr2:9563545..9563563,-	ITGB1BP1
T126231	chr2:9563575..9563681,-	ITGB1BP1
T126232	chr2:9563745..9563768,+	CPSF3
T126233	chr2:9563769..9563832,+	CPSF3
T126238	chr2:95691395..95691406,+	MAL
T126240	chr2:95691445..95691461,+	MAL
T126260	chr2:95774146..95774152,-	MRPS5
T126261	chr2:95787533..95787573,-	MRPS5
T126262	chr2:95787677..95787691,-	MRPS5
T126263	chr2:95787697..95787709,-	MRPS5
T126264	chr2:95787716..95787737,-	MRPS5
T126265	chr2:95787738..95787763,-	MRPS5
T126266	chr2:95787766..95787784,-	MRPS5
T126267	chr2:95825586..95825609,-	ZNF514
T126268	chr2:95831389..95831432,-	ZNF514
T126269	chr2:95831529..95831569,+	ZNF2
T126270	chr2:95831587..95831592,+	ZNF2
T126277	chr2:95940220..95940275,+	PROM2
T126278	chr2:95963052..95963106,+	KCNIP3
T126285	chr2:96012277..96012290,+	KCNIP3
T126286	chr2:96012298..96012317,+	KCNIP3
T126288	chr2:96012397..96012417,+	KCNIP3
T126290	chr2:96068436..96068518,+	FAHD2A
T126291	chr2:9613929..9613950,+	IAH1
T126292	chr2:9614243..9614279,+	IAH1
T126293	chr2:9614652..9614697,+	IAH1
T126295	chr2:9615179..9615203,+	IAH1
T126313	chr2:96782206..96782211,-	ADRA2B
T126319	chr2:96811170..96811186,-	DUSP2
T126333	chr2:96851110..96851114,-	STARD7
T126334	chr2:96851222..96851237,-	STARD7
T126335	chr2:96851896..96851900,-	STARD7
T126336	chr2:96851925..96852001,-	STARD7
T126338	chr2:96873986..96874086,-	STARD7
T126340	chr2:96874531..96874547,-	STARD7
T126341	chr2:96874553..96874572,-	STARD7
T126342	chr2:96874581..96874592,-	STARD7
T126348	chr2:96919504..96919541,-	TMEM127
T126350	chr2:96926313..96926334,-	TMEM127
T126356	chr2:96931679..96931756,-	TMEM127
T126357	chr2:96931834..96931847,+	CIAO1
T126358	chr2:96931950..96932043,+	CIAO1
T126359	chr2:96932046..96932081,+	CIAO1
T126360	chr2:96943971..96943976,-	SNRNP200
T126367	chr2:96956454..96956459,-	SNRNP200
T126370	chr2:9695750..9695775,-	ADAM17
T126371	chr2:9695787..9695813,-	ADAM17
T126372	chr2:9695820..9695831,-	ADAM17
T126373	chr2:9695847..9695966,-	ADAM17
T126374	chr2:9695971..9695995,-	ADAM17
T126379	chr2:96971232..96971255,-	SNRNP200
T126380	chr2:96971259..96971302,-	SNRNP200
T126383	chr2:96991033..96991092,+	ITPRIPL1
T126387	chr2:97001482..97001488,+	NCAPH
T126388	chr2:97001491..97001550,+	NCAPH
T126403	chr2:97171087..97171100,-	NEURL3
T126407	chr2:97202451..97202462,+	ARID5A
T126408	chr2:97202480..97202499,+	ARID5A
T126410	chr2:97202991..97203043,+	ARID5A
T126411	chr2:97203110..97203159,+	ARID5A
T126414	chr2:97213170..97213185,+	ARID5A
T126427	chr2:97302685..97302693,-	KANSL3
T126428	chr2:97303082..97303088,-	KANSL3
T126429	chr2:97303705..97303736,-	KANSL3
T126430	chr2:97304009..97304074,-	KANSL3
T126431	chr2:97304076..97304088,-	KANSL3
T126432	chr2:97304105..97304116,-	KANSL3
T126433	chr2:97308467..97308510,+	FER1L5
T126435	chr2:97405775..97405816,-	LMAN2L
T126436	chr2:97426494..97426508,+	CNNM4
T126437	chr2:97426605..97426616,+	CNNM4
T126438	chr2:97426631..97426649,+	CNNM4
T126443	chr2:97464789..97464820,+	CNNM4
T126451	chr2:97481974..97482015,+	CNNM3
T126453	chr2:97482324..97482357,+	CNNM3
